Features,SHAP Importance
Vehicle_Damage,0.1034049338193721
Age,0.08097032144287428
Annual_Premium,0.07287760022362878
Previously_Insured,0.07014269483910852
Vintage,0.06882233128216275
Region_Code,0.04139457520242387
Vehicle_Age,0.029499594404971217
Gender,0.006823838697087863
Policy_Sales_Channel,0.004381776438131955
Driving_License,0.0005248696191842496
